Test Case ID,Test Category,Test Scenario,Test Description,Preconditions,Test Steps,Expected Result,Test Data,Priority,Status
TC_DP_001,Page Rendering,Initial Page Load,Verify page loads correctly with all essential elements,"User has access to LMS DownPayment page, User is logged in","1. Navigate to LMS DownPayment page
2. Wait for page to load completely","1. Page header shows 'LMS - Down Payment'
2. CollectionBanner component displays correctly
3. LMSSearchFilter component is visible
4. Page background is gray-200
5. No errors are displayed",N/A,High,Not Started
TC_DP_002,Page Rendering,Loading Overlay Display,Verify loading overlay appears during data fetch,"User is on LMS DownPayment page","1. Select a center from dropdown
2. Observe loading state","1. LoadingOverlay component is displayed
2. Message shows 'Loading DownPayment Collections'
3. Loading overlay has correct data-testid
4. Page content is obscured during loading",Valid center data,High,Not Started
TC_DP_003,Filter Functionality,Center Selection,Verify center selection triggers data fetch,"User is on LMS DownPayment page, Multiple centers available","1. Open center dropdown
2. Select a specific center
3. Wait for data to load","1. API call is made with selected centerId
2. Collections for selected center are displayed
3. Table shows filtered data
4. Toast notification shows API response message",centerId: valid center ID,High,Not Started
TC_DP_004,Filter Functionality,User Selection,Verify user selection filters collections correctly,"Center is selected, Users are loaded","1. Select one or more users from dropdown
2. Observe table data","1. Table shows only collections assigned to selected users
2. Data includes both collector and caller assignments
3. Filtered count updates correctly",selectedUsers: array of user objects,High,Not Started
TC_DP_005,Filter Functionality,Unassigned Filter,Verify 'Unassigned' filter shows unassigned collections,"Center is selected, Collections with unassigned fields exist","1. Select 'Unassigned' option from user dropdown
2. Observe table data","1. Table shows collections where collector OR caller is empty
2. Collections with either field unassigned are included
3. Count reflects unassigned collections only",selectedUsers: [{userId: 'UNASSIGNED'}],Medium,Not Started
TC_DP_006,Filter Functionality,Search Text Filter,Verify search functionality filters across multiple fields,"Center selected, Collections loaded","1. Enter text in search field
2. Type customer name/mobile/collector/caller/collectionId","1. Table filters to show matching records
2. Search works on: customer name, mobile, collector name, caller name, collectionId
3. Search is case-insensitive
4. Results update in real-time","searchText: 'John', '9876543210', 'COL123'",High,Not Started
TC_DP_007,Filter Functionality,Clear Search,Verify clearing search shows all filtered data,"Search text is entered, Results are filtered","1. Clear search text field
2. Observe table data","1. Table shows all collections based on center/user filters
2. Search filter is removed
3. Full dataset (minus other filters) is displayed",searchText: '',Medium,Not Started
TC_DP_008,Filter Functionality,No Center Selected,Verify no data shown when center not selected,"User is on LMS DownPayment page","1. Ensure no center is selected
2. Observe table state","1. Table is empty
2. No API calls are made
3. No error messages displayed
4. Empty state is handled gracefully",selectedCenter: null,High,Not Started
TC_DP_009,Filter Functionality,No Users Selected,Verify no data shown when users not selected,"Center is selected but no users selected","1. Select a center
2. Ensure no users are selected
3. Observe table state","1. Table is empty (Scenario B implementation)
2. No collections are displayed
3. Prevents showing unfiltered data",selectedUsers: [],Medium,Not Started
TC_DP_010,Table Operations,Column Sorting - Ascending,Verify column sorting in ascending order,"Collections are loaded","1. Click on a sortable column header (e.g., Status)
2. Observe data order","1. Data is sorted in ascending order
2. Sort icon shows ascending indicator
3. Data order matches sortConfig key and direction",sortConfig: {key: 'collectionStatus', direction: 'asc'},Medium,Not Started
TC_DP_011,Table Operations,Column Sorting - Descending,Verify column sorting in descending order,"Collections loaded, Column sorted ascending","1. Click same column header again
2. Observe data order","1. Data is sorted in descending order
2. Sort icon shows descending indicator
3. Sort direction toggles correctly",sortConfig: {key: 'collectionStatus', direction: 'desc'},Medium,Not Started
TC_DP_012,Table Operations,Column Sorting - Multiple Columns,Verify sorting across different columns,"Collections are loaded","1. Sort by one column
2. Sort by different column
3. Observe behavior","1. Previous sort is replaced by new sort
2. Only one column is sorted at a time
3. Sort state updates correctly",sortConfig: switches between columns,Low,Not Started
TC_DP_013,Table Filtering,Status Column Filter,Verify status column filtering,"Collections with different statuses exist","1. Open status column filter dropdown
2. Select one or more status values
3. Observe table data","1. Table shows only collections with selected statuses
2. Multi-select works correctly
3. Filter persists until changed",statusColumnFilter: ['PENDING', 'PAID'],Medium,Not Started
TC_DP_014,Table Filtering,Customer Column Filter,Verify customer name column filtering,"Collections with different customers exist","1. Open customer column filter
2. Select one or more customer names
3. Observe filtered results","1. Only collections for selected customers shown
2. Multi-select functionality works
3. Filter state is maintained",customerColumnFilter: ['Customer A', 'Customer B'],Medium,Not Started
TC_DP_015,Table Filtering,Collector Column Filter,Verify collector column filtering,"Collections with different collectors assigned","1. Open collector column filter
2. Select collector name(s)
3. Observe filtered data","1. Shows collections assigned to selected collectors
2. 'Unassigned' option shows collections without collector
3. Multi-select works correctly",collectorColumnFilter: ['Collector A', 'Unassigned'],Medium,Not Started
TC_DP_016,Table Filtering,Caller Column Filter,Verify caller column filtering,"Collections with different callers assigned","1. Open caller column filter
2. Select caller name(s)
3. Observe filtered data","1. Shows collections assigned to selected callers
2. 'Unassigned' option shows collections without caller
3. Filter combines correctly",callerColumnFilter: ['Caller A', 'Unassigned'],Medium,Not Started
TC_DP_017,Table Filtering,Combined Filters,Verify multiple column filters work together,"Collections loaded with varied data","1. Apply status filter
2. Apply customer filter
3. Apply collector filter
4. Observe results","1. All filters are applied together (AND logic)
2. Results match all selected filter criteria
3. Filter count updates correctly",Multiple filters active,High,Not Started
TC_DP_018,Assignment Operations,Assign Collector,Verify collector can be assigned to collection,"Collections loaded, Collectors available","1. Select a collection row
2. Choose collector from dropdown
3. Wait for API response","1. API call made to assignUser with type 'COLLECTOR'
2. On success, collector is updated in table
3. Toast shows API success message
4. Local state updates correctly","collectionId: 'COL123', collectorId: 456",High,Not Started
TC_DP_019,Assignment Operations,Assign Caller,Verify caller can be assigned to collection,"Collections loaded, Callers available","1. Select a collection row
2. Choose caller from dropdown
3. Wait for API response","1. API call made to assignUser with type 'CALLER'
2. On success, caller is updated in table
3. Toast shows API success message
4. State reflects new assignment","collectionId: 'COL123', callerId: 789",High,Not Started
TC_DP_020,Assignment Operations,Prevent Concurrent Assignments,Verify only one assignment at a time,"Collections loaded","1. Initiate collector assignment
2. Immediately try caller assignment
3. Observe behavior","1. Second assignment is blocked while first is in progress
2. assigningUser flag prevents concurrent calls
3. Only one API call executes at a time",assigningUser: true/false,Medium,Not Started
TC_DP_021,Assignment Operations,Assignment API Failure,Verify error handling for failed assignment,"Collections loaded","1. Attempt to assign collector/caller
2. Simulate API failure
3. Observe error handling","1. Toast displays API error message
2. Assignment does not update locally
3. assigningUser flag resets
4. User can retry assignment",API returns error,High,Not Started
TC_DP_022,Assignment Operations,Unassign Collector,Verify behavior when unassigning collector,"Collection has collector assigned","1. Select unassign/empty option for collector
2. Observe behavior","1. No API call is made (as per current implementation)
2. UI state remains unchanged
3. No errors occur",collectorId: null,Low,Not Started
TC_DP_023,Assignment Operations,Role-Based User Filtering,Verify correct users shown for collector/caller,"Center users loaded with various roles","1. View collector dropdown
2. View caller dropdown
3. Check available options","1. Collector dropdown shows: CENTER_MANAGER, FIELD, FI_EXEC, SALES_EXEC, TECHN
2. Caller dropdown shows: TELE_CALLER
3. Users filtered by role_code correctly","usersByCenterId map with role codes",Medium,Not Started
TC_DP_024,Data Management,Fetch Collections API,Verify collections fetch with correct parameters,"Valid center selected","1. Select center
2. Observe API call parameters","1. API called with orgId=1, centerId, collectionType='DP'
2. All three parameters are required
3. withCredentials: true is set","params: {orgId: 1, centerId: '123', collectionType: 'DP'}",High,Not Started
TC_DP_025,Data Management,Fetch Users for Center,Verify users are fetched for selected center,"Center selected","1. Select center
2. Monitor API calls","1. getUserList API called with centerId and roleCodes
2. REQUIRED_ROLE_CODES sent as params
3. Users excluding 'credit executive' are stored
4. Users mapped by centerId","roleCodes: ['FIELD', 'SALES_EXEC', 'CENTER_MANAGER', 'TELE_CALLER', 'FI_EXEC', 'TECHN']",High,Not Started
TC_DP_026,Data Management,Prevent Duplicate Fetches,Verify duplicate API calls are prevented,"Collections already fetched for center","1. Select center A
2. Select center B
3. Select center A again","1. Second selection of center A does not trigger API call
2. lastFetchedCenterRef prevents duplicate
3. fetchInProgressRef prevents concurrent calls",lastFetchedCenterRef tracking,Medium,Not Started
TC_DP_027,Data Management,Transform Collection Data,Verify collections are transformed correctly,"API returns collection data","1. Fetch collections
2. Examine transformed data structure","1. Each collection has centerCollectors array
2. Each collection has centerCallers array
3. subtype field is populated from subType
4. Users are correctly separated by role",Transformed data structure,Medium,Not Started
TC_DP_028,Data Management,Users by Center Mapping,Verify users are correctly mapped to centers,"Multiple centers with different users","1. Select center A
2. Select center B
3. View collections from both","1. Each collection gets users for its specific center
2. usersByCenterId map maintains all center users
3. Collections show correct collector/caller options per center",Multiple centers in usersByCenterId,Medium,Not Started
TC_DP_029,Row Operations,Row Update Handler,Verify row data updates correctly,"Collections loaded","1. Trigger row update with allowed field
2. Pass updates to handleRowUpdate
3. Observe state change","1. Only ALLOWED_UPDATE_FIELDS are accepted
2. Invalid fields are rejected and logged
3. Table data updates for specific collectionId
4. Other rows remain unchanged","updates: {collectionStatus: 'PAID', pendingAmount: 1000}",High,Not Started
TC_DP_030,Row Operations,Row Update - Invalid Fields,Verify invalid fields are rejected,"Collections loaded","1. Attempt to update with disallowed field
2. Observe behavior","1. Invalid fields are filtered out
2. Console warning is logged
3. Only valid fields are applied
4. No data corruption occurs","updates: {invalidField: 'test', collectionStatus: 'PAID'}",Medium,Not Started
TC_DP_031,Row Operations,Row Update - Whitelist Validation,Verify only whitelisted fields can update,"Collections loaded","1. Review ALLOWED_UPDATE_FIELDS constant
2. Test each allowed field
3. Test disallowed fields","1. Allowed: collectionStatus, pendingAmount, transactions, nextCallDate, lastCallDate
2. All other fields rejected
3. Validation works consistently",Each field from whitelist,Medium,Not Started
TC_DP_032,Download Functionality,Download Excel - With Data,Verify Excel download with filtered data,"Collections loaded and filtered","1. Apply filters to get specific data
2. Click download button
3. Wait for download completion","1. Download button shows loading state
2. exportFilteredCollectionData is called
3. Filename format: LMS_DownPayment_CenterName_YYYY-MM-DD
4. Excel file downloads successfully
5. Success toast shows record count","filteredAndSortedData with records",High,Not Started
TC_DP_033,Download Functionality,Download Excel - No Data,Verify warning when no data to download,"No collections match filters","1. Apply filters that return no results
2. Click download button","1. Warning toast: 'No data available to download'
2. No download occurs
3. Button remains enabled",filteredAndSortedData: [],Medium,Not Started
TC_DP_034,Download Functionality,Download Filename Generation,Verify correct filename generation,"Collections loaded, Center selected","1. Initiate download
2. Check generated filename","1. Format: LMS_DownPayment_{CenterName}_{CurrentDate}
2. Center name from: centerName, center_name, or name
3. Special characters replaced with underscores
4. Date format: YYYY-MM-DD (local system date)","filename: LMS_DownPayment_TestCenter_2025-12-01",Low,Not Started
TC_DP_035,Download Functionality,Download Filter Metadata,Verify filter info included in export,"Filters applied, Data loaded","1. Apply various filters
2. Initiate download
3. Check export parameters","1. filterInfo includes: selectedCenter, selectedUsers, searchText
2. Column filters included: status, customer, collector, caller
3. Metadata helps understand exported data context",filterInfo object,Low,Not Started
TC_DP_036,Download Functionality,Download During Loading,Verify download button disabled during download,"Download in progress","1. Click download button
2. Observe button state during download","1. Button shows loading spinner
2. Button is disabled during download
3. isDownloading state prevents multiple clicks
4. Button re-enables after completion",isDownloading: true,Medium,Not Started
